reaction,log10_bridging_centrality,log10_betweeness_centrality,clustering_coefficient,log10_degree,cascadeNum,is_essential
CSND,3.1932945603249236,3.72212745502256,0.2857142857142857,0.8450980400142568,0,0
CTBTCAL2,2.011805311637129,3.0629578340845103,0.41625816993464054,1.6989700043360187,0,0
CTECOAI6,3.1893071556899995,3.2152304012657025,0.5,0.6989700043360189,1,0
CTECOAI7,3.1930137023697336,3.2189369479454366,0.5,0.6989700043360189,1,0
CTECOAI8,3.255061157869917,3.282335242736579,0.5,0.6989700043360189,1,0
CTPS2,2.497022763579035,4.545219909714179,0.21184371184371184,1.6127838567197355,0,1
CYANST,0,0,0,0,0,0
CYNTAH,0,0,0,0,0,0
CYSDDS,0,0,0.36764705882352944,1.2304489213782739,0,0
CYSDS,2.411768209642237,3.463248141548759,0.29411764705882354,1.2787536009528289,0,0
CYSS,3.209005154365495,4.329460918842216,0.01948051948051948,1.1139433523068367,0,1
CYSSADS,0,0,0.47619047619047616,0.8450980400142568,0,0
CYSTL,1.968624399898028,3.0400004988136815,0.2953216374269006,1.2787536009528289,0,1
CYSTRS,0,0,0,0.3010299956639812,0,0
CYTD,3.0120321872317826,2.9589873111066964,0.25,0.6020599913279624,0,0
CYTDH,2.678005426264519,2.5239084609150058,0,0.47712125471966244,0,0
CYTDK2,3.4695963393550784,4.280002949670816,0.24431818181818182,1.146128035678238,0,0
CYTK1,3.214291660088796,4.3555454079919596,0.06060606060606061,1.5440680443502757,0,0
CYTK2,2.5536987829837074,3.009630738633432,0.25,0.7781512503836436,0,0
DAAD,2.7979313292854924,4.509003921809945,0.3198154443904808,1.8129133566428555,0,0
DADA,3.1167033710119276,2.3385521206282838,0.5,0.47712125471966244,0,0
DADK,2.792866778937212,3.1652526831368615,0.25,0.7781512503836436,0,0
DAGK120,2.9902401627108435,3.041392685158225,0,0.47712125471966244,0,0
DAGK140,2.9902401627108435,3.041392685158225,0,0.47712125471966244,0,0
DAGK141,2.9902401627108435,3.041392685158225,0,0.47712125471966244,0,0
DAGK160,2.9902401627108435,3.041392685158225,0,0.47712125471966244,0,0
DAGK161,2.990240162710844,3.041392685158225,0,0.47712125471966244,0,0
DAGK180,2.9902401627108435,3.041392685158225,0,0.47712125471966244,0,0
DAGK181,2.990240162710844,3.041392685158225,0,0.47712125471966244,0,0
DAPAL,0,0,0.47619047619047616,1.1760912590556813,0,0
DAPDC,2.565393884878251,3.2165911074182687,0.15,0.6989700043360189,0,1
DAPE,2.8517634380163273,3.1070359431196333,0.16666666666666666,0.6020599913279624,0,1
DASYN120,3.359879334886451,3.7438835656151963,0.018518518518518517,0.9030899869919435,1,0
